Unnamed: 0,customer_id,date_registered,username,gender,address,email,birthdate,current_location,residence,age,salary,credit_card_provider,credit_card_number,credit_card_security_code,credit_card_expire
0,cf96b84be95602a01d470fef6c5775ae9b187421e24906fae66b03933a7d822f,2021-09-29,e2a28c51bbb5fb36092eac5ca20da5e95d8345c96139eb26461c0afcb005e726,M,********************************************,0993c9ad2c26ea3acbeec4efff4d3cda8ea4eeb14339cf16363fe8fa202a78c4,1978,"['78.937112', '71.260464']",********************************************,40-49,50K-100K,VISA 19 digit,**************,***,*******************
1,389c7185edc98f251ac1235788b66a03b1e394dddffd240bd1875859b6be4aa4,2019-08-17,35ad94d094dd85a018a4370706aa9a48c9a9a0b1c4af7daebbb37cbb31f075cb,F,*******************************************,55dcb55982c87177f1eb7faa8e78b2d7417e782878536083bf8d3a28e382f23c,1970,"['-24.1692185', '100.746122']",************************************************,40-49,50K-100K,Discover,****************,***,*******************
2,7a9394657a1fcbe2a525e5f8f3add3329bb0022e39eb190c7c3ba02d50a5d7ae,2019-11-01,922109f67599e77aa3e8177c5dcab310ddba3b6c775ccaa387bedd47763e8dd9,M,****************************************,f7cb16dd4efde776b69477f61bc8f171fdad967e2dd389f4578b7ee575c6a05e,2009,"['8.019908', '-19.603269']",************************************************,40-49,150K and above,VISA 16 digit,*******************,***,*******************
3,511d9da9211917b4c3f23ed14854d350edcbfe3a4b48f797f7af4015275e21c6,2021-12-31,99a147d621d2ac9afcbf975d7f142a248d08c4f064ee221f704075fc6fea771b,F,*******************************,7210be59c4a06de2cd101248493b9843bf378a0933c2aac5ea3fb85a483ab733,1992,"['62.497506', '2.717198']",*****************************************,30-39,100K-150K,VISA 16 digit,*******************,****,*******************
4,9535dcb56772ba94bea4e23b547c522ae4c667022c07e997a45097daf0e8bc06,2020-08-09,8958bc33f4d51668dccb0ce7568da30e7176dc9f52b4b15f5ec4b22c764c98ae,F,******************************************,6cbda70247614623788c6839ffd898b52faebaa27da31e7c8bc8fc6ff436f307,1989,"['73.7924695', '-80.314720']",****************************************,50 and above,100K-150K,JCB 16 digit,***************,**,*******************
5,94293f1d5c5a9914290daeb4d360c81f83adc5cd608fdcae42baf1f59f9cc8fd,2021-12-29,d2c4eb8f9638d2987d22b4a48e51bef7a85fe6b0db4d17a4d1e3e3b48e27ea88,M,*******************************,b98cb21aaa1bf93ac4771d026255318ea216ddfcf18e855839e036cc5ac3fe42,1935,"['43.229788', '54.454713']",****************************************************,40-49,Under 50K,American Express,************,***,*******************
6,b5a2fb7872e822fe010ca9694656f8a39a55f50334651a148a7f93263594b340,2019-09-13,402ef4f4c03421af59140a9046261d5a77dd39f733fd4c803541e032ed6e54cd,F,*************************************************,07d5be24e740aad95c4919299fcce57646213e531ae3a8c16f79ddb584c01fa5,1981,"['-27.7805925', '10.773065']",*******************************,50 and above,150K and above,JCB 16 digit,*************,***,*******************
7,782440d2a5eb66704c3b7c81c44aca9e21330a98b8489b9eee632c9e48f707ac,2021-10-06,be66173aca7188043221c3efd4a806d5841a870e0ee7e85cd7ff8d846d005728,F,****************************************,3b0a5102079c38c348fa11e15473b68030436c2686afff48864d1e23fad246e5,1923,"['-50.553672', '114.947839']",*********************************************,50 and above,50K-100K,Diners Club / Carte Blanche,****************,***,*******************
8,fc2c458dc0732e51ef14c3709743b6905052ae0e732c77341910f309bd99a6c4,2021-11-01,d820df54cc517e39d0979423ca98e83fcfc4d0f0a9a77bf80e75d5aa72a2ec02,F,****************************************,c19e3239f4cf8e75c7e996c4744a76be3e631fc8faa703c9ca56da5dbee2a379,2001,"['-47.2706515', '-5.433348']",***************************************,50 and above,150K and above,VISA 19 digit,****************,***,*******************
9,1153f50786940322f56f116c8e74c69a988886b4f0c7d67f2ba011230a277a79,2020-04-01,4bc58e8b028f8499e9d4e9591ca27679dec7d9d2c0f5f99bb2e95dc4cf821df3,F,*************************************,2346a3d7f6fa794f4afe07b51f595efc20fce37e1da615986649b52706b0eb4d,1931,"['3.7511305', '130.887868']",*******************************************,20-29,50K-100K,VISA 19 digit,****************,*,*******************
